region,period,period_name,out,out_exp,ratio_out,inp,inp_exp,ratio_in
Guizhou,1,Feb 2020 to Mar 2020: Wave 1 peak,862.4,1455.327879,0.59258124,81,124.4217467,0.651011597
Yunnan,1,Feb 2020 to Mar 2020: Wave 1 peak,1369.5,2107.229845,0.649905374,101.6,150.5752126,0.674745851
Tibet,1,Feb 2020 to Mar 2020: Wave 1 peak,75,87.3831357,0.858289181,3,3.962849763,0.75703097
Shaanxi,1,Feb 2020 to Mar 2020: Wave 1 peak,878.5,1740.232972,0.504817466,64,132.9926359,0.481229653
Gansu,1,Feb 2020 to Mar 2020: Wave 1 peak,601.4,904.9130185,0.664594262,43.6,69.85474813,0.624152276
Qinghai,1,Feb 2020 to Mar 2020: Wave 1 peak,181.2,223.8363793,0.809519885,12.4,16.40377978,0.75592334
Ningxia,1,Feb 2020 to Mar 2020: Wave 1 peak,211.2,370.5354873,0.569985891,10.1,19.6206366,0.514764134
Xinjiang,1,Feb 2020 to Mar 2020: Wave 1 peak,588,873.0769951,0.673480121,44.3,71.94379041,0.615758493
Taiwan,2,April  2020-Jul 2020: Revovery period,,,,,,
Beijing,2,April  2020-Jul 2020: Revovery period,3197.8,5068.050682,0.63097238,69.4,135.4338508,0.512427282
Tianjin,2,April  2020-Jul 2020: Revovery period,1806.3,2297.712874,0.786129555,42.4,55.70988214,0.761085796
Hebei,2,April  2020-Jul 2020: Revovery period,4997.1,5766.678161,0.866547406,296.1,392.5563328,0.754286647
Shanxi,2,April  2020-Jul 2020: Revovery period,2186.1,2671.141367,0.818414191,133.3,182.3229858,0.731120102
Neimenggu,2,April  2020-Jul 2020: Revovery period,1705.5,2014.644244,0.846551447,90.8,138.1375975,0.657315616
Liaoning,2,April  2020-Jul 2020: Revovery period,3064.9,3801.92382,0.806144506,177.3,252.7273784,0.701546469
Jilin,2,April  2020-Jul 2020: Revovery period,1475.8,1924.822865,0.766719903,86.9,134.8893765,0.644231608
Heilongjiang,2,April  2020-Jul 2020: Revovery period,1484.9,2339.677885,0.634660014,84.3,197.08938,0.427724721
Shanghai,2,April  2020-Jul 2020: Revovery period,4513.6,5750.918163,0.784848588,126.7,161.5363909,0.784343387
Jiangsu,2,April  2020-Jul 2020: Revovery period,8025.1,9744.840098,0.823523005,373.6,428.3227563,0.872239438
Zhejiang,2,April  2020-Jul 2020: Revovery period,9022.5,11314.53775,0.797425418,296.4,369.5960702,0.801956579
Anhui,2,April  2020-Jul 2020: Revovery period,4074.6,4050.446867,1.005963079,273.2,299.5615966,0.911999412
Fujian,2,April  2020-Jul 2020: Revovery period,3216.7,3817.674735,0.842580949,155.2,178.4881472,0.869525526
Jiangxi,2,April  2020-Jul 2020: Revovery period,2523.6,2925.101753,0.862739218,196.2,231.421002,0.847805507
Shandong,2,April  2020-Jul 2020: Revovery period,7359.5,9435.899125,0.779946871,451.5,575.3754894,0.784704959
Henan,2,April  2020-Jul 2020: Revovery period,6922,7928.282406,0.873076872,486.5,575.0379806,0.846031073
Hubei,2,April  2020-Jul 2020: Revovery period,3888.9,5601.930648,0.694207095,221.5,366.7126745,0.60401512
