,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,period,sum_exp,sum,dif,dif_low,diff_up,rr,rr_low,rr_up,pvalue,region,2
210,23490904.38,18063000,-5427904.382,-6106485.64,-4726978.919,0.76911066,0.747347307,0.7925852,0,Tianjin,2,23490904.4,18063000,-5427904,-6106486,-4726979,0.77,0.75,0.79,0,Tianjin,2
218,1841383.055,1952000,110616.9448,-11710.10274,229549.9603,1.061264384,0.994036872,1.133269446,0.076,Tibet,2,1841383.06,1952000,110617,-11710,229550,1.06,0.99,1.13,0.076,Tibet,2
226,17842833.44,19179000,1336166.56,657598.0745,1980023.899,1.075265069,1.035504769,1.11512453,0,Xinjiang,2,17842833.4,19179000,1336167,657598,1980024,1.08,1.04,1.12,0,Xinjiang,2
234,42902600.88,36641000,-6261600.877,-7129068.495,-5469409.124,0.854128401,0.837124575,0.870117408,0,Yunnan,2,42902600.9,36641000,-6261601,-7129069,-5469409,0.85,0.84,0.87,0,Yunnan,2
242,108514070,90225000,-18289069.96,-20956378.62,-15713014.84,0.831583284,0.811511794,0.851677279,0,Zhejiang,2,108514070,90225000,-18289070,-20956379,-15713015,0.83,0.81,0.85,0,Zhejiang,2
250,1338298266,1113608000,-224690266.2,-240422703.8,-209661771.8,0.832135857,0.822439253,0.841557802,0,zz_Total,2,1338298266,1113608000,-224690266,-240422704,-209661772,0.83,0.82,0.84,0,zz_Total,2
3,211062796,246446500,35383704.04,23539674.84,46930542.3,1.168579505,1.10560322,1.235221999,0,Anhui,3,211062796,246446500,35383704,23539675,46930542,1.17,1.11,1.24,0,Anhui,3
11,252072268.1,241972500,-10099768.14,-18285627.58,-2496498.525,0.960161112,0.929740417,0.989788083,0.01,Beijing,3,252072268,241972500,-10099768,-18285628,-2496499,0.96,0.93,0.99,0.01,Beijing,3
19,147342472.4,147059000,-283472.3551,-4360725.357,3503631.74,0.998272724,0.971201086,1.024406136,0.934,Chongqing,3,147342472,147059000,-283472,-4360725,3503632,1.00,0.97,1.02,0.934,Chongqing,3
27,179702822.9,181978000,2275177.124,-3649587.051,8107005.457,1.012953114,0.9803392,1.046626562,0.468,Fujian,3,179702823,181978000,2275177,-3649587,8107005,1.01,0.98,1.05,0.468,Fujian,3
35,93934697.12,95548000,1613302.881,-1155979.678,4292590.3,1.017420104,0.988046204,1.047039298,0.27,Gansu,3,93934697.1,95548000,1613303,-1155980,4292590,1.02,0.99,1.05,0.27,Gansu,3
43,671765483.7,681158500,9393016.292,-9733395.923,27817109.79,1.01418192,0.985911844,1.042576687,0.3,Guangdong,3,671765484,681158500,9393016,-9733396,27817110,1.01,0.99,1.04,0.3,Guangdong,3
51,202698524.2,197628500,-5070024.203,-10292259.64,202082.2499,0.975152888,0.950499126,1.001023583,0.064,Guangxi,3,202698524,197628500,-5070024,-10292260,202082,0.98,0.95,1.00,0.064,Guangxi,3
59,156393296.1,143207000,-13186296.14,-19963966.11,-6401283.446,0.916130286,0.87765001,0.957213041,0,Guizhou,3,156393296,143207000,-13186296,-19963966,-6401283,0.92,0.88,0.96,0,Guizhou,3
67,40598271.12,39692500,-905771.1226,-2965181.128,949793.8743,0.97830206,0.93048893,1.024515501,0.36,Hainan,3,40598271.1,39692500,-905771,-2965181,949794,0.98,0.93,1.02,0.36,Hainan,3
75,296250802.3,310960500,14709697.68,4351406.573,25816672.59,1.049994517,1.014192035,1.090539125,0.008,Hebei,3,296250802,310960500,14709698,4351407,25816673,1.05,1.01,1.09,0.008,Hebei,3
83,113783598,110155500,-3628097.999,-6099897.55,-935496.2362,0.968248149,0.9475302,0.991579034,0.012,Heilongjiang,3,113783598,110155500,-3628098,-6099898,-935496,0.97,0.95,0.99,0.012,Heilongjiang,3
91,412236400.6,400126500,-12109900.64,-19890539.06,-4450137.925,0.970714354,0.952643496,0.989000509,0,Henan,3,412236401,400126500,-12109901,-19890539,-4450138,0.97,0.95,0.99,0,Henan,3
99,266761987.8,250869000,-15892987.79,-30929871.62,-1766223.694,0.941102321,0.890241322,0.993008799,0.026,Hubei,3,266761988,250869000,-15892988,-30929872,-1766224,0.94,0.89,0.99,0.026,Hubei,3
107,210008667.1,206271500,-3737167.111,-10769294.46,2809598.763,0.982479253,0.950381244,1.013808984,0.264,Hunan,3,210008667,206271500,-3737167,-10769294,2809599,0.98,0.95,1.01,0.264,Hunan,3
115,102819202,103995000,1175798.028,-2339081.507,4876900.987,1.011746369,0.978002523,1.049202961,0.502,Inner Mongolia,3,102819202,103995000,1175798,-2339082,4876901,1.01,0.98,1.05,0.502,Inner Mongolia,3
123,470023585.6,460414500,-9609085.566,-26694850.52,6423999.267,0.979863557,0.945197421,1.014150075,0.246,Jiangsu,3,470023586,460414500,-9609086,-26694851,6423999,0.98,0.95,1.01,0.246,Jiangsu,3
131,153615214.8,153835000,219785.1631,-6246022.801,6137962.188,1.001869793,0.960982116,1.041557794,0.918,Jiangxi,3,153615215,153835000,219785,-6246023,6137962,1.00,0.96,1.04,0.918,Jiangxi,3
139,97360384.72,101611500,4251115.28,686199.5345,7843363.907,1.044043615,1.006799086,1.083646374,0.028,Jilin,3,97360384.7,101611500,4251115,686200,7843364,1.04,1.01,1.08,0.028,Jilin,3
147,189304154.3,188533500,-770654.2884,-5706944.235,3883711.071,0.996101697,0.97061918,1.021032849,0.758,Liaoning,3,189304154,188533500,-770654,-5706944,3883711,1.00,0.97,1.02,0.758,Liaoning,3
155,39931261.13,39350000,-581261.1256,-2097689.626,1084921.522,0.985840611,0.949389529,1.028352792,0.488,Ningxia,3,39931261.1,39350000,-581261,-2097690,1084922,0.99,0.95,1.03,0.488,Ningxia,3
163,25502447.61,29081500,3579052.389,1982604.641,4982985.75,1.14124375,1.073161827,1.206775642,0,Qinghai,3,25502447.6,29081500,3579052,1982605,4982986,1.14,1.07,1.21,0,Qinghai,3
171,187980813,178153000,-9827813.009,-12665541.53,-7093701.952,0.947777754,0.933625205,0.96170673,0,Shaanxi,3,187980813,178153000,-9827813,-12665542,-7093702,0.95,0.93,0.96,0,Shaanxi,3
179,473489617.5,443848000,-29641617.48,-43605649.05,-16733280.31,0.937595437,0.910544009,0.963669214,0,Shandong,3,473489617,443848000,-29641617,-43605649,-16733280,0.94,0.91,0.96,0,Shandong,3
187,298853010.2,283606000,-15247010.16,-25990542.91,-4845124.903,0.949298924,0.916050281,0.983202961,0,Shanghai,3,298853010,283606000,-15247010,-25990543,-4845125,0.95,0.92,0.98,0,Shanghai,3
195,129386603,128765000,-621602.9974,-8427634.329,7160907.424,0.996126788,0.9385708,1.05888706,0.878,Shanxi,3,129386603,128765000,-621603,-8427634,7160907,1.00,0.94,1.06,0.878,Shanxi,3
203,418460540.3,404233500,-14227040.33,-26019816.82,-3078200.149,0.966181198,0.939524425,0.992442643,0.01,Sichuan,3,418460540,404233500,-14227040,-26019817,-3078200,0.97,0.94,0.99,0.01,Sichuan,3
211,113625680.3,107374500,-6251180.267,-9419959.847,-3116627.408,0.94517198,0.919345833,0.971792963,0,Tianjin,3,113625680,107374500,-6251180,-9419960,-3116627,0.95,0.92,0.97,0,Tianjin,3
219,9703978.859,11087500,1383521.141,788728.3617,2051050.095,1.143823928,1.076584706,1.226975208,0,Tibet,3,9703978.86,11087500,1383521,788728,2051050,1.14,1.08,1.23,0,Tibet,3
227,90231917.27,107189000,16957082.73,13319794.2,20376325.6,1.188437042,1.141897378,1.234716023,0,Xinjiang,3,90231917.3,107189000,16957083,13319794,20376326,1.19,1.14,1.23,0,Xinjiang,3
235,225945339,219118000,-6827338.995,-12087679.58,-1840813.433,0.969918129,0.947718934,0.991668978,0.008,Yunnan,3,225945339,219118000,-6827339,-12087680,-1840813,0.97,0.95,0.99,0.008,Yunnan,3
243,553730039.6,512451000,-41279039.58,-62995441.75,-21271018.44,0.925787578,0.890527707,0.960145917,0,Zhejiang,3,553730040,512451000,-41279040,-62995442,-21271018,0.93,0.89,0.96,0,Zhejiang,3
251,6758318450,6725913000,-32405449.7,-148056887.9,82320972.82,0.995282944,0.978461225,1.012391034,0.604,zz_Total,3,6758318450,6725913000,-32405450,-148056888,82320973,1.00,0.98,1.01,0.604,zz_Total,3
4,23027470.4,24911000,1883529.604,170711.3363,3549934.387,1.083261668,1.006900135,1.16618718,0.028,Anhui,4,23027470.4,24911000,1883530,170711,3549934,1.08,1.01,1.17,0.028,Anhui,4
12,26020971.89,21114000,-4906971.893,-6094664.009,-3766156.248,0.811850818,0.77600282,0.848628112,0,Beijing,4,26020971.9,21114000,-4906972,-6094664,-3766156,0.81,0.78,0.85,0,Beijing,4
20,16081366.5,14744000,-1337366.501,-1955517.274,-757556.4011,0.917154663,0.882899773,0.951130301,0,Chongqing,4,16081366.5,14744000,-1337367,-1955517,-757556,0.92,0.88,0.95,0,Chongqing,4
